1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.215999	0.000000	4.564435	0.039463	863.4
1	-0.185008	0.000000	4.564435	0.020162	10.8
2	-0.209867	0.000000	4.564435	0.029736	7.2
3	-0.205924	1.000000	4.356960	0.027529	8.2
4	-0.205576	0.764816	4.404040	0.015286	3.6
5	-0.212219	1.764815	4.210582	0.027282	12.5
6	-0.190293	0.947524	4.367378	0.023001	3.5
7	-0.196424	0.012960	4.561620	0.014846	10.0
8	-0.207148	1.008614	4.355255	0.016762	4.8
9	-0.196150	1.732529	4.216562	0.020915	3.3
10	-0.197389	2.502082	4.078495	0.018109	9.2
11	-0.180671	3.502042	3.912047	0.021450	3.9
12	-0.204608	4.502041	3.758645	0.033594	7.5
13	-0.171279	5.502041	3.616821	0.021502	7.0
14	-0.220324	4.575136	3.747903	0.023092	5.8
15	-0.209583	4.187527	3.805579	0.018254	10.2
16	-0.196232	3.252257	3.952338	0.022463	6.1
17	-0.201321	2.318994	4.110517	0.010294	9.0
18	-0.218126	3.313439	3.942393	0.024942	4.2
19	-0.188819	4.232423	3.798808	0.026095	12.0
20	-0.232482	3.297153	3.945035	0.027072	8.5
21	-0.187409	2.656524	4.051869	0.028575	8.1
22	-0.203446	3.017075	3.991041	0.040443	7.8
23	-0.189459	2.081881	4.152743	0.025514	8.9
24	-0.178302	3.081881	3.980301	0.028819	7.4
25	-0.207716	2.146612	4.141130	0.030046	7.6
26	-0.214111	3.146612	3.969631	0.023414	7.2
27	-0.221781	2.712322	4.042334	0.019868	11.9
28	-0.210736	1.777053	4.208320	0.012002	11.4
29	-0.213500	2.675520	4.048618	0.008202	8.7
30	-0.191133	3.319652	3.941386	0.018652	11.0
31	-0.227190	3.765014	3.870506	0.028131	11.5
32	-0.175589	2.829745	4.022415	0.011475	3.3
33	-0.196601	1.967195	4.173480	0.032200	7.3
34	-0.177597	1.079651	4.341243	0.021923	14.6
35	-0.199141	2.079649	4.153145	0.021335	10.1
36	-0.210576	1.148605	4.327728	0.020778	12.4
37	-0.190885	2.118164	4.146226	0.023748	7.5
38	-0.197862	3.118164	3.974313	0.015723	12.1
39	-0.209309	4.099169	3.818976	0.019915	6.8
40	-0.183125	4.350783	3.781072	0.019135	10.4
41	-0.181011	5.350120	3.637673	0.019452	8.8
42	-0.240340	4.414900	3.771533	0.015555	22.6
43	-0.216633	5.411001	3.629288	0.015184	9.6
44	-0.205189	5.950364	3.556654	0.023254	12.8
45	-0.204273	6.950310	3.429412	0.029115	9.1
