1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.131910	0.000000	23.125296	0.015403	1282.5
1	-0.118838	0.000000	23.125296	0.017758	6.0
2	-0.118516	0.000000	23.125296	0.008827	8.0
3	-0.116622	0.000000	23.125296	0.003556	8.0
4	-0.126841	0.661664	22.418925	0.015010	8.2
5	-0.125090	0.713992	22.364899	0.018038	9.8
6	-0.104239	1.713992	21.380268	0.006782	6.9
7	-0.127601	2.412707	20.742207	0.010145	9.4
8	-0.114026	1.785555	21.313118	0.010700	5.8
9	-0.111220	1.140765	21.933805	0.011922	9.6
10	-0.118681	1.126713	21.947734	0.007428	16.1
11	-0.116463	0.542973	22.542442	0.012064	6.3
12	-0.128938	1.542971	21.542468	0.010955	10.8
13	-0.137780	0.898181	22.176784	0.011701	26.9
14	-0.120187	1.898181	21.208288	0.013041	6.3
15	-0.143204	1.253391	21.822796	0.009168	14.9
16	-0.136402	2.156757	20.971469	0.009192	14.6
17	-0.122100	1.511969	21.572135	0.005835	5.7
18	-0.128226	0.888670	22.186420	0.010140	19.3
19	-0.125506	0.244649	22.858990	0.015196	14.1
20	-0.146566	0.000000	23.125296	0.009614	16.6
21	-0.123883	0.999817	22.074330	0.008761	13.3
22	-0.113883	0.362196	22.733206	0.010327	14.1
23	-0.137420	0.264389	22.837770	0.016886	13.3
24	-0.127173	0.000000	23.125296	0.008081	6.2
25	-0.118459	0.999971	22.074175	0.015039	18.0
26	-0.125411	1.966103	21.145565	0.012237	11.7
27	-0.107097	1.321313	21.756391	0.010865	15.9
28	-0.140525	2.286137	20.854950	0.007234	13.4
29	-0.129592	1.641348	21.448865	0.006257	5.7
30	-0.123076	2.552776	20.618853	0.008498	15.1
31	-0.140136	1.933263	21.175845	0.012718	13.9
32	-0.139623	2.933253	20.291066	0.006647	17.4
33	-0.122436	2.630804	20.550770	0.008073	15.8
34	-0.152216	3.574619	19.761495	0.012232	18.6
35	-0.118607	4.574602	18.988808	0.011980	12.4
36	-0.130722	3.929813	19.479938	0.025449	15.1
37	-0.123025	4.929813	18.728682	0.011992	14.4
38	-0.135821	4.285023	19.206279	0.011418	5.1
39	-0.135223	3.699774	19.661363	0.009741	12.8
40	-0.152224	4.699772	18.896324	0.005665	15.1
41	-0.143779	4.356784	19.151925	0.007629	15.7
42	-0.140549	3.753541	19.618656	0.008534	14.3
43	-0.137362	4.753539	18.856873	0.008952	5.3
44	-0.125340	5.694755	18.192009	0.012316	14.7
45	-0.117006	5.088697	18.614621	0.007530	14.6
46	-0.145226	5.678141	18.203338	0.013174	5.6
47	-0.133067	6.677676	17.545954	0.003077	18.1
48	-0.109759	7.658815	16.945265	0.011355	9.7
