1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.060359	0.000000	4.491180	0.005943	1222.1
1	-0.064021	0.000000	4.491180	0.010220	8.8
2	-0.063380	0.935136	4.299712	0.012755	16.0
3	-0.054267	1.935103	4.112246	0.018900	9.7
4	-0.061145	2.935103	3.940437	0.007289	11.0
5	-0.066260	3.466261	3.854891	0.013450	13.4
6	-0.051201	2.502540	4.012961	0.018795	12.1
7	-0.061293	3.502540	3.849184	0.014264	10.3
8	-0.059061	2.538655	4.006804	0.010751	9.1
9	-0.054752	3.333703	3.875891	0.008621	7.8
10	-0.060029	2.405171	4.029655	0.016061	11.5
11	-0.054574	3.405123	3.864548	0.008046	10.8
12	-0.064901	2.634270	3.990594	0.016661	6.8
13	-0.068072	1.675723	4.159284	0.012446	10.6
14	-0.062510	0.711837	4.343933	0.006670	17.0
15	-0.065954	0.000000	4.491180	0.014262	5.6
16	-0.059889	0.000000	4.491180	0.016067	7.5
17	-0.059869	0.000000	4.491180	0.012346	5.5
18	-0.055624	0.000000	4.491180	0.014329	4.8
19	-0.061498	0.000000	4.491180	0.010755	6.8
20	-0.058646	0.000000	4.491180	0.011304	9.0
21	-0.067974	0.999977	4.287040	0.008898	12.2
22	-0.073895	1.999692	4.100697	0.018740	9.6
23	-0.053784	1.035807	4.280069	0.013513	7.6
24	-0.063198	2.035807	4.094268	0.008304	7.7
25	-0.061765	3.030750	3.924754	0.010840	9.4
26	-0.055953	3.909456	3.786304	0.018224	7.0
27	-0.062885	3.472481	3.853911	0.007426	7.3
28	-0.053448	2.571719	4.001184	0.009411	8.1
29	-0.067082	2.384546	4.033210	0.009238	10.1
30	-0.057333	2.692166	3.980842	0.010579	8.5
31	-0.058477	1.747604	4.146141	0.008128	10.0
32	-0.061285	2.747473	3.971571	0.014051	6.2
33	-0.058755	3.747471	3.811087	0.009887	12.5
34	-0.059552	4.747094	3.663123	0.008031	8.6
35	-0.064247	5.746807	3.526207	0.016168	9.8
36	-0.057738	4.784081	3.657868	0.006456	9.6
37	-0.055601	4.824065	3.652205	0.014012	8.2
38	-0.059367	3.861071	3.793673	0.010612	10.5
39	-0.055524	4.859149	3.647250	0.012822	10.8
40	-0.067320	3.895406	3.788441	0.012537	8.7
41	-0.064795	4.828583	3.651566	0.011187	9.1
42	-0.062764	5.012070	3.625808	0.008079	9.0
43	-0.053549	4.072025	3.761753	0.012239	9.4
44	-0.059995	3.732717	3.813361	0.014462	9.3
45	-0.065018	4.732716	3.665170	0.010852	9.5
46	-0.056462	3.914858	3.785483	0.018566	7.0
47	-0.053957	2.951012	3.937820	0.012323	7.0
48	-0.071930	3.951012	3.779998	0.020261	11.0
49	-0.066010	3.161165	3.903569	0.013101	9.6
50	-0.056934	2.230751	4.059911	0.016353	9.0
51	-0.049691	1.885389	4.121179	0.009115	10.7
52	-0.057204	0.923347	4.302024	0.014867	11.2
