1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.127779	0.000000	4.142010	0.019907	507.5
1	-0.118221	0.000000	4.142010	0.012820	6.0
2	-0.102598	0.941637	3.964254	0.009032	3.7
3	-0.116813	0.965677	3.959915	0.020083	2.1
4	-0.123346	1.246866	3.909864	0.011830	2.1
5	-0.119556	2.230805	3.744262	0.013856	3.6
6	-0.121029	2.780418	3.657724	0.037816	3.1
7	-0.103989	3.001709	3.624001	0.013490	4.5
8	-0.119311	2.117813	3.762562	0.046400	2.0
9	-0.103273	1.232860	3.912327	0.014555	3.4
10	-0.122514	0.347868	4.074515	0.010441	3.3
11	-0.113624	1.002053	3.953368	0.023010	4.4
12	-0.117693	1.005951	3.952668	0.021016	4.3
13	-0.120957	0.205668	4.101838	0.018840	2.2
14	-0.119360	0.000000	4.142010	0.021260	3.1
15	-0.101135	0.981685	3.957031	0.015515	4.1
16	-0.114723	0.140417	4.114499	0.023270	3.0
17	-0.106007	1.136419	3.929372	0.026423	4.7
18	-0.117755	2.136418	3.759537	0.017259	2.1
19	-0.135081	3.136347	3.603785	0.017055	4.4
20	-0.136470	2.625899	3.681647	0.013801	3.0
21	-0.111892	3.619631	3.533043	0.014957	3.3
22	-0.113204	3.806978	3.506361	0.026079	3.0
23	-0.133977	3.187458	3.596170	0.041317	3.3
24	-0.121630	2.302444	3.732751	0.025735	5.2
25	-0.136331	3.302412	3.579160	0.009317	2.4
26	-0.115966	4.249913	3.444852	0.012641	2.9
27	-0.120672	4.808520	3.370291	0.019850	2.8
28	-0.116499	3.923774	3.489930	0.017669	4.4
29	-0.144264	4.888569	3.359870	0.017043	3.3
30	-0.109439	5.795581	3.246140	0.039371	3.3
31	-0.093393	4.921798	3.355563	0.021267	2.4
32	-0.098044	4.036784	3.474177	0.027560	4.8
33	-0.137704	3.151769	3.601484	0.014540	3.6
34	-0.086662	2.268230	3.738240	0.016900	2.5
35	-0.108484	1.383508	3.885996	0.017435	3.9
36	-0.133426	0.498671	4.045935	0.046343	3.9
37	-0.131656	0.000000	4.142010	0.030060	4.2
38	-0.112204	0.000000	4.142010	0.047447	2.2
39	-0.124326	0.000000	4.142010	0.021365	2.8
40	-0.122696	0.996305	3.954401	0.030239	4.7
41	-0.137410	1.995789	3.782528	0.015429	3.1
42	-0.111184	2.671215	3.674599	0.016475	2.2
43	-0.116015	1.786301	3.817303	0.017195	3.6
44	-0.116792	1.293827	3.901628	0.018593	2.5
45	-0.122827	1.414999	3.880536	0.015451	4.5
46	-0.102290	2.391854	3.718483	0.034173	3.4
47	-0.138679	1.533972	3.860048	0.015680	3.7
48	-0.123065	0.748516	3.999455	0.022631	3.7
49	-0.114939	0.000000	4.142010	0.021897	3.9
50	-0.113977	0.974991	3.958237	0.012951	4.6
51	-0.123489	0.136834	4.115196	0.020995	2.8
52	-0.131512	0.000000	4.142010	0.013839	3.8
53	-0.111175	0.873811	3.976546	0.015180	4.2
54	-0.149135	0.000000	4.142010	0.015396	4.2
55	-0.146345	0.000000	4.142010	0.016752	3.1
56	-0.142373	0.000000	4.142010	0.019552	2.1
57	-0.117927	0.000000	4.142010	0.012153	5.3
58	-0.152057	0.000000	4.142010	0.042269	3.1
59	-0.097110	0.481842	4.049104	0.014028	3.7
60	-0.126538	0.000000	4.142010	0.013219	2.0
61	-0.124111	0.468497	4.051621	0.024949	4.8
62	-0.122264	0.000000	4.142010	0.030367	3.2
63	-0.113533	0.998807	3.953952	0.018939	3.0
64	-0.109004	0.113793	4.119687	0.044980	2.5
65	-0.121747	0.000000	4.142010	0.023449	3.9
66	-0.130806	0.999997	3.953738	0.030005	4.2
67	-0.133923	1.999993	3.781837	0.023290	2.8
68	-0.117083	1.114978	3.933181	0.007225	3.9
69	-0.123005	0.381440	4.068118	0.027467	3.6
70	-0.118045	0.000000	4.142010	0.016042	4.0
71	-0.115618	0.000000	4.142010	0.013805	3.3
72	-0.111863	0.000000	4.142010	0.038889	2.7
73	-0.138741	0.000000	4.142010	0.018567	3.1
74	-0.116504	0.000000	4.142010	0.017164	4.9
75	-0.132359	0.000000	4.142010	0.018457	4.4
76	-0.153546	0.999666	3.953797	0.028491	2.2
77	-0.118434	0.114661	4.119518	0.019871	4.5
78	-0.149584	1.114661	3.933238	0.023324	3.8
79	-0.131299	2.114657	3.763076	0.014185	4.0
80	-0.130277	3.103876	3.608640	0.017278	2.0
81	-0.126641	2.468128	3.706398	0.007542	3.8
82	-0.130442	3.074688	3.613015	0.019691	4.5
83	-0.117929	2.195925	3.749892	0.032985	3.5
84	-0.120027	1.310911	3.898640	0.024618	2.6
85	-0.143509	0.425896	4.059677	0.022107	3.2
86	-0.129196	1.321664	3.896762	0.022582	4.3
87	-0.121148	2.321662	3.729675	0.013735	2.5
88	-0.129108	1.455903	3.873468	0.016074	3.6
89	-0.136929	2.453671	3.708682	0.023793	5.0
90	-0.118764	1.887968	3.800347	0.022076	3.1
91	-0.150386	1.008309	3.952244	0.017713	4.6
92	-0.141513	1.978814	3.785322	0.023749	2.9
93	-0.140994	2.978808	3.627462	0.024360	2.5
94	-0.118440	2.096191	3.766085	0.013128	4.6
95	-0.114100	3.096100	3.609805	0.018665	4.1
96	-0.123477	2.225343	3.745142	0.017429	3.1
97	-0.133878	3.108075	3.608012	0.023129	2.7
98	-0.127391	2.230077	3.744379	0.021288	4.4
99	-0.150425	1.345694	3.892572	0.022459	4.1
100	-0.132137	0.460717	4.053090	0.034876	3.6
101	-0.133421	1.460717	3.872638	0.018893	2.7
102	-0.135545	2.460594	3.707588	0.029217	3.8
103	-0.109030	2.770762	3.659210	0.018819	3.9
104	-0.131927	3.591360	3.537105	0.018769	4.2
