1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.070001	0.000000	4.676856	0.018386	404.6
1	-0.068834	0.000000	4.676856	0.021978	3.1
2	-0.069905	0.000000	4.676856	0.032072	6.0
3	-0.084138	0.000000	4.676856	0.028626	3.4
4	-0.068932	0.000000	4.676856	0.024264	2.2
5	-0.097572	0.999999	4.464272	0.019728	1.8
6	-0.073759	1.999995	4.270174	0.014772	2.4
7	-0.083592	1.040625	4.456044	0.018906	6.0
8	-0.082418	0.081142	4.658855	0.019384	2.3
9	-0.088196	1.081142	4.447867	0.030252	1.8
10	-0.060092	2.081141	4.255162	0.015159	2.9
11	-0.072278	3.081141	4.078461	0.012872	2.6
12	-0.092474	4.028126	3.924145	0.024602	3.6
13	-0.084262	3.068617	4.080583	0.027967	3.9
14	-0.066175	2.873792	4.113883	0.015993	1.9
15	-0.095115	3.873032	3.948613	0.011242	3.4
16	-0.078908	4.872045	3.796143	0.010828	4.3
17	-0.063862	5.537212	3.700991	0.018864	4.0
18	-0.079089	6.535374	3.566830	0.016326	3.6
19	-0.065729	5.575846	3.695611	0.024060	1.9
20	-0.067836	4.652810	3.828586	0.017564	5.7
21	-0.073296	5.652580	3.684971	0.026882	4.0
22	-0.064540	6.532300	3.567228	0.026275	3.6
23	-0.082182	6.075803	3.627371	0.017596	1.8
24	-0.074950	7.075803	3.498172	0.019704	3.7
25	-0.081094	7.964544	3.390835	0.015233	4.3
26	-0.076105	8.962365	3.277912	0.020982	2.1
27	-0.075717	8.002833	3.386358	0.026377	3.9
28	-0.070321	7.043300	3.502226	0.013687	1.9
29	-0.086788	6.569169	3.562457	0.024943	4.2
30	-0.081339	7.569168	3.437761	0.028648	4.3
31	-0.076298	8.569168	3.321500	0.010320	2.5
32	-0.075995	9.169910	3.255362	0.027680	1.9
33	-0.065772	8.441899	3.335858	0.016029	2.1
34	-0.080664	7.482396	3.448235	0.021823	5.8
35	-0.066638	8.481238	3.331406	0.018767	4.1
36	-0.066426	9.477175	3.222542	0.014203	1.9
37	-0.074725	8.565150	3.321951	0.018898	2.6
38	-0.080050	7.641418	3.429090	0.020499	7.8
39	-0.075109	7.431242	3.454439	0.016138	3.8
40	-0.074704	6.471712	3.575095	0.009374	2.0
41	-0.075607	5.525155	3.702673	0.024761	2.9
42	-0.100334	4.579045	3.839627	0.020119	2.8
43	-0.079224	3.620687	3.989084	0.007541	5.6
44	-0.079900	4.620284	3.833446	0.012900	2.5
45	-0.068165	3.890702	3.945810	0.025851	3.8
46	-0.070479	2.942050	4.102154	0.010527	2.0
47	-0.065020	3.941270	3.937810	0.007623	7.4
48	-0.068590	3.301527	4.041474	0.013002	2.6
49	-0.079549	3.092230	4.076584	0.014364	2.4
50	-0.096273	2.133630	4.245507	0.023419	3.1
51	-0.076833	3.133630	4.069590	0.035687	4.3
52	-0.091197	3.912936	3.942289	0.010371	3.6
53	-0.064049	3.674684	3.980354	0.015197	2.6
54	-0.084016	2.751561	4.135054	0.040093	4.2
55	-0.069823	3.751561	3.967992	0.027287	3.3
56	-0.064722	2.792029	4.128021	0.007065	3.7
57	-0.078003	3.770353	3.964981	0.007070	2.5
58	-0.081670	4.570004	3.840984	0.022325	3.1
59	-0.080249	5.557345	3.698185	0.011852	3.8
60	-0.082057	6.254366	3.603606	0.029256	3.2
61	-0.078475	5.313380	3.732473	0.028667	3.1
62	-0.053562	4.353847	3.873731	0.007414	2.6
63	-0.085727	3.422714	4.021420	0.012752	3.0
64	-0.094461	4.348890	3.874489	0.010370	3.7
65	-0.077275	5.125494	3.759316	0.014509	4.1
66	-0.082455	4.176514	3.901016	0.016709	2.7
67	-0.086618	5.165799	3.753525	0.009718	3.9
68	-0.072487	4.703462	3.821041	0.007222	2.5
69	-0.082576	4.861509	3.797690	0.012500	4.8
70	-0.064112	5.475488	3.709619	0.012473	2.8
71	-0.078699	5.054238	3.769597	0.017671	4.0
72	-0.086125	4.101089	3.912738	0.027334	3.4
73	-0.074012	4.947898	3.785046	0.031439	5.5
74	-0.069827	3.988365	3.930389	0.025676	4.1
75	-0.084423	3.028832	4.087339	0.016532	3.6
