1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.054824	0.000000	1.923149	0.020373	831.0
1	-0.064917	0.000000	1.923149	0.017619	5.4
2	-0.073590	0.000000	1.923149	0.017891	3.1
3	-0.071639	0.965425	1.838623	0.024328	4.2
4	-0.062802	0.000000	1.923149	0.011867	3.1
5	-0.056997	0.000000	1.923149	0.027390	6.8
6	-0.067657	0.000000	1.923149	0.024993	4.0
7	-0.073843	0.000000	1.923149	0.021915	4.3
8	-0.058309	0.000000	1.923149	0.017299	7.2
9	-0.068934	0.000000	1.923149	0.017161	4.8
10	-0.063122	0.000000	1.923149	0.012455	3.1
11	-0.058588	0.000000	1.923149	0.031197	7.5
12	-0.085204	0.000000	1.923149	0.029637	3.8
13	-0.077933	0.930199	1.841576	0.023926	4.3
14	-0.075420	0.000000	1.923149	0.024069	6.4
15	-0.066735	1.000000	1.835733	0.013181	3.0
16	-0.061212	1.124759	1.825382	0.008231	12.7
17	-0.069947	0.578140	1.871623	0.013494	8.6
18	-0.056614	0.000000	1.923149	0.016492	10.5
19	-0.072739	0.930652	1.841538	0.018065	9.4
20	-0.073410	0.000000	1.923149	0.018907	6.0
21	-0.068658	0.999997	1.835734	0.007323	7.2
22	-0.076926	1.489348	1.795789	0.014079	4.4
23	-0.061662	1.285003	1.812256	0.014189	4.9
24	-0.058528	0.853420	1.848046	0.013529	7.9
25	-0.069306	0.748398	1.856971	0.018562	3.4
26	-0.074104	1.580079	1.788574	0.024252	3.7
27	-0.076061	2.576129	1.713010	0.027057	7.1
28	-0.067864	3.576129	1.643307	0.008927	4.3
29	-0.078539	3.634980	1.639382	0.027776	3.9
30	-0.073747	4.145527	1.606096	0.018250	7.0
31	-0.064758	5.142147	1.544867	0.021783	3.8
32	-0.071328	6.142092	1.487952	0.035749	4.0
33	-0.082641	5.173134	1.543038	0.029236	6.5
34	-0.068447	5.371993	1.531402	0.027966	6.4
35	-0.077679	6.371988	1.475455	0.032219	4.8
36	-0.060561	7.371988	1.423451	0.014583	6.3
37	-0.093573	8.371988	1.374988	0.012977	4.5
38	-0.076772	7.429113	1.420591	0.011012	9.8
39	-0.075758	7.790988	1.402735	0.026306	7.0
40	-0.055304	6.822285	1.451575	0.020671	8.6
41	-0.075994	7.822285	1.401212	0.016599	3.6
42	-0.059090	8.793116	1.355553	0.015459	3.5
43	-0.060664	9.274679	1.333991	0.019386	6.0
44	-0.067441	8.444964	1.371580	0.016169	6.3
45	-0.060264	9.441840	1.326665	0.016367	3.7
46	-0.071000	9.963237	1.304325	0.013411	7.7
47	-0.065924	10.960461	1.263628	0.017926	3.7
48	-0.064467	10.003281	1.302641	0.013596	3.6
49	-0.065004	9.035624	1.344608	0.017055	5.8
50	-0.079036	8.067036	1.389414	0.016827	4.5
51	-0.074212	9.066935	1.343208	0.016323	4.2
52	-0.076057	8.132479	1.386292	0.012061	6.2
53	-0.069938	8.163980	1.384795	0.016392	4.3
54	-0.070400	7.195421	1.432365	0.016322	4.3
55	-0.072649	6.227073	1.483308	0.018415	7.2
56	-0.064410	5.351062	1.532619	0.015646	4.5
57	-0.068147	4.385395	1.590920	0.018888	5.6
58	-0.076865	3.416440	1.654055	0.020824	5.9
59	-0.068816	4.416328	1.588984	0.012755	4.4
60	-0.069883	5.295726	1.535844	0.018514	5.0
61	-0.064951	6.198893	1.484845	0.015141	5.8
62	-0.076107	7.063974	1.439074	0.008259	4.8
63	-0.062285	7.551869	1.414483	0.016961	7.0
64	-0.060955	7.989984	1.393106	0.011920	5.0
65	-0.063505	8.951643	1.348378	0.011444	4.4
66	-0.073716	7.996303	1.392803	0.012299	6.4
67	-0.079091	7.030831	1.440776	0.023749	5.1
68	-0.085691	8.026551	1.391351	0.019967	4.6
69	-0.082228	9.026551	1.345014	0.014679	5.1
70	-0.066529	8.058115	1.389840	0.015188	6.1
71	-0.087363	8.907737	1.350357	0.030116	4.6
72	-0.075085	9.907737	1.306667	0.029009	5.4
73	-0.069372	8.939120	1.348942	0.027604	4.7
74	-0.066699	9.939120	1.305342	0.016238	4.3
75	-0.053222	8.970172	1.347544	0.018198	5.0
76	-0.095420	8.004357	1.392416	0.040857	6.0
77	-0.074922	7.035764	1.440522	0.023108	4.9
78	-0.103481	8.035764	1.390910	0.021236	8.7
79	-0.071282	8.546211	1.366880	0.021418	4.1
80	-0.070540	7.581611	1.413011	0.011573	4.1
81	-0.073630	6.613115	1.462571	0.017168	7.1
82	-0.081803	7.611360	1.411542	0.015468	4.1
83	-0.066689	8.518292	1.368173	0.004887	3.8
84	-0.070623	9.343885	1.330948	0.010173	6.5
85	-0.074149	9.127951	1.340487	0.007762	3.9
86	-0.080859	9.950881	1.304846	0.019146	3.6
87	-0.082023	9.011111	1.345706	0.012385	5.0
88	-0.062965	9.876624	1.307984	0.015803	4.0
89	-0.074753	8.909690	1.350269	0.016596	3.8
90	-0.067312	9.188955	1.337779	0.022689	3.6
91	-0.072441	10.188273	1.294914	0.012545	5.2
92	-0.077228	11.181632	1.254944	0.017707	4.7
93	-0.082365	12.137371	1.218749	0.015715	3.3
94	-0.070365	12.119781	1.219396	0.024274	3.2
95	-0.058928	11.152886	1.256066	0.022613	4.5
96	-0.072597	10.183928	1.295095	0.014768	3.9
97	-0.083288	9.258884	1.334687	0.021112	3.5
98	-0.065148	9.086525	1.342333	0.014678	4.0
99	-0.064751	9.278527	1.333821	0.019239	4.7
100	-0.083599	10.276939	1.291243	0.010290	4.1
101	-0.073606	9.347834	1.330775	0.021037	3.8
102	-0.065549	10.193391	1.294702	0.016565	5.2
103	-0.072057	11.160246	1.255778	0.016110	4.1
104	-0.067805	11.292134	1.250649	0.015578	3.6
105	-0.067238	10.323292	1.289332	0.018588	3.7
106	-0.067502	11.268764	1.251555	0.023015	5.4
107	-0.069263	10.299806	1.290300	0.009448	4.8
108	-0.075139	11.200505	1.254208	0.016135	3.2
109	-0.076286	12.180628	1.217160	0.018923	3.9
110	-0.080055	12.015087	1.223263	0.032870	5.4
111	-0.061721	13.015076	1.187301	0.019525	3.9
112	-0.075426	12.084104	1.220711	0.015435	3.4
113	-0.066756	12.508914	1.205236	0.012569	4.2
114	-0.072438	11.542837	1.241015	0.022264	5.0
