1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.096647	0.000000	1.835373	0.017816	472.1
1	-0.116184	0.000000	1.835373	0.034074	3.6
2	-0.090242	0.329653	1.807007	0.018515	5.9
3	-0.096955	0.000000	1.835373	0.048993	1.9
4	-0.084809	0.338514	1.806256	0.026558	3.4
5	-0.094485	1.338494	1.725399	0.028485	2.4
6	-0.100724	2.338410	1.651476	0.033584	5.5
7	-0.094298	3.338410	1.583621	0.025591	3.3
8	-0.083836	4.338410	1.521122	0.015168	2.0
9	-0.094410	4.234000	1.527416	0.022403	2.4
10	-0.093857	3.269499	1.588118	0.023197	3.3
11	-0.093081	2.521884	1.638594	0.016846	3.5
12	-0.090049	3.487430	1.573984	0.025238	3.9
13	-0.088596	2.522482	1.638553	0.033801	1.9
14	-0.100045	3.513138	1.572333	0.044997	3.3
15	-0.082748	2.547190	1.636833	0.028870	4.0
16	-0.113711	3.547190	1.570152	0.024109	2.5
17	-0.081319	4.547187	1.508692	0.017662	3.7
18	-0.091071	3.587539	1.567576	0.035673	2.0
19	-0.112140	3.781237	1.555323	0.022376	3.0
20	-0.095636	2.870610	1.614656	0.011058	5.8
21	-0.079382	1.969657	1.677989	0.040699	3.0
22	-0.112935	2.758743	1.622259	0.034567	2.5
23	-0.093758	3.758743	1.556736	0.024829	2.3
24	-0.094033	4.758723	1.496302	0.029709	2.4
25	-0.092660	5.758723	1.440384	0.031792	6.0
26	-0.109078	4.792775	1.494326	0.024470	2.3
27	-0.086026	3.826827	1.552467	0.042068	3.1
28	-0.116156	2.860879	1.615315	0.030705	2.8
29	-0.098343	1.894930	1.683465	0.016653	3.5
30	-0.120282	0.928982	1.757620	0.028288	4.0
31	-0.091357	1.925942	1.681188	0.041406	3.2
32	-0.097180	0.959995	1.755138	0.022159	2.3
33	-0.090771	1.959384	1.678740	0.017789	2.8
34	-0.103331	2.958169	1.608755	0.031724	4.8
35	-0.097933	3.955624	1.544454	0.009540	2.3
36	-0.088739	3.039873	1.603287	0.028732	3.2
37	-0.088559	2.099493	1.668557	0.013284	1.9
38	-0.089350	1.616880	1.704162	0.036341	3.1
39	-0.098139	0.812119	1.767037	0.040248	4.1
40	-0.094610	1.812119	1.689577	0.030399	2.4
