1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.100054	0.000000	14.612661	0.008403	997.5
1	-0.113205	0.000000	14.612661	0.014649	2.8
2	-0.112820	0.000000	14.612661	0.015720	11.6
3	-0.128987	0.000000	14.612661	0.012877	7.4
4	-0.114284	0.000000	14.612661	0.010883	7.8
5	-0.118667	0.000000	14.612661	0.008325	5.2
6	-0.113334	0.997534	13.950013	0.009622	4.1
7	-0.103874	0.185504	14.484710	0.005682	6.0
8	-0.115995	0.908028	14.007006	0.013402	5.9
9	-0.121340	0.101843	14.542137	0.007269	7.0
10	-0.101743	0.000000	14.612661	0.013262	9.1
11	-0.118669	0.000000	14.612661	0.009180	4.2
12	-0.097719	0.000000	14.612661	0.008996	5.7
13	-0.111216	0.000000	14.612661	0.011106	6.5
14	-0.109407	0.000000	14.612661	0.009165	8.1
15	-0.095800	0.999875	13.948528	0.008991	6.4
16	-0.124114	1.996900	13.343793	0.012441	4.5
17	-0.111278	1.184866	13.832217	0.006855	5.5
18	-0.111243	0.819952	14.063545	0.011486	5.5
19	-0.115782	1.810401	13.452893	0.014289	3.1
20	-0.102617	2.810401	12.887892	0.009448	5.9
21	-0.125993	3.810385	12.368445	0.008234	7.9
22	-0.110724	4.249811	12.153195	0.008886	7.4
23	-0.107939	5.248814	11.690657	0.011031	5.6
24	-0.101365	4.436851	12.063831	0.011571	3.3
25	-0.121477	5.411468	11.618660	0.013410	5.5
26	-0.113784	4.938036	11.830729	0.007898	7.1
27	-0.116819	4.127328	12.212436	0.010428	5.6
28	-0.117843	4.160478	12.196346	0.008513	8.1
29	-0.108102	3.348560	12.603040	0.012421	6.0
30	-0.122523	4.339108	12.110366	0.010472	6.1
31	-0.104733	3.527150	12.511273	0.004928	5.7
32	-0.100122	4.266624	12.145108	0.010826	4.4
33	-0.125531	3.486540	12.532023	0.023213	6.0
34	-0.124539	4.466637	12.049721	0.007281	6.3
35	-0.112073	3.654581	12.446607	0.013806	5.8
36	-0.124362	2.844119	12.869667	0.005049	8.4
