1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.244379	0.000000	6.150484	0.020769	969.7
1	-0.211852	0.000000	6.150484	0.007592	7.2
2	-0.237324	0.000000	6.150484	0.030864	6.7
3	-0.245101	0.000000	6.150484	0.016943	6.4
4	-0.231676	0.000000	6.150484	0.010751	6.8
5	-0.228564	0.995687	5.872067	0.015826	5.6
6	-0.261410	0.211536	6.089147	0.018478	6.9
7	-0.206100	0.000000	6.150484	0.013886	6.1
8	-0.236592	0.990485	5.873457	0.013309	6.2
9	-0.219387	0.199119	6.092714	0.018873	6.9
10	-0.230865	0.000000	6.150484	0.010578	6.1
11	-0.214514	0.935365	5.888216	0.024401	8.4
12	-0.224490	0.130828	6.112404	0.013472	6.3
13	-0.237253	0.000000	6.150484	0.020685	10.4
14	-0.215829	0.995535	5.872108	0.015981	4.4
15	-0.223919	0.199453	6.092618	0.010057	5.7
16	-0.200064	1.040390	5.860158	0.017887	5.6
17	-0.222970	1.095064	5.845657	0.006497	4.1
18	-0.240347	1.999653	5.615744	0.018620	4.7
19	-0.237984	1.979759	5.620605	0.008507	5.6
20	-0.239524	1.184278	5.822149	0.014501	4.3
21	-0.247174	0.519641	6.001966	0.019176	5.0
22	-0.223217	0.982879	5.875489	0.011887	5.9
23	-0.228931	0.236698	6.081932	0.010919	4.3
24	-0.255025	1.222070	5.812247	0.021719	4.7
25	-0.218755	1.208098	5.815904	0.012192	5.2
26	-0.234393	0.398089	6.036061	0.010818	4.7
27	-0.232643	0.000000	6.150484	0.010891	7.2
28	-0.232142	0.621576	5.973670	0.013373	6.3
29	-0.248750	1.581881	5.719637	0.017057	4.7
30	-0.224849	0.774547	5.931704	0.011076	5.1
31	-0.229034	0.101580	6.120876	0.014622	5.8
32	-0.235280	0.176242	6.099296	0.013054	5.2
33	-0.224069	0.335241	6.053841	0.020377	5.6
34	-0.238300	0.000000	6.150484	0.016108	4.3
35	-0.240276	0.000000	6.150484	0.017025	4.0
36	-0.249544	0.000000	6.150484	0.016815	6.1
37	-0.216975	0.000000	6.150484	0.015694	5.3
38	-0.235403	0.211175	6.089251	0.016003	4.4
39	-0.234139	0.000000	6.150484	0.015880	5.3
40	-0.234872	0.723694	5.945589	0.023211	4.9
41	-0.236950	1.723661	5.683950	0.006659	5.6
42	-0.200032	2.284161	5.547125	0.016373	4.4
43	-0.203533	1.687240	5.693075	0.014669	5.3
44	-0.258360	0.882453	5.902453	0.022955	5.0
45	-0.256152	0.073104	6.129147	0.012778	5.6
46	-0.235189	0.000000	6.150484	0.018228	5.3
47	-0.223345	0.000000	6.150484	0.007196	4.9
48	-0.220189	0.000000	6.150484	0.015273	5.7
49	-0.236792	0.000000	6.150484	0.020512	4.8
50	-0.261278	0.000000	6.150484	0.027534	4.6
51	-0.233737	0.000000	6.150484	0.016083	4.8
52	-0.238315	0.000000	6.150484	0.020547	4.9
53	-0.252395	0.999292	5.871105	0.017209	4.7
54	-0.236544	0.278674	6.069935	0.024566	5.0
55	-0.220717	1.278672	5.797480	0.017944	5.1
56	-0.243208	0.468622	6.016229	0.019889	4.6
57	-0.239678	0.000000	6.150484	0.016386	6.5
58	-0.257326	0.999138	5.871146	0.014078	5.2
59	-0.247671	1.971958	5.622514	0.013163	4.0
60	-0.221410	1.165791	5.827004	0.007784	5.4
61	-0.233831	1.829562	5.657584	0.012793	4.7
62	-0.211037	1.920395	5.635163	0.029668	4.4
63	-0.238828	2.920312	5.399602	0.013259	6.1
64	-0.237568	3.920309	5.182928	0.016480	3.9
65	-0.213230	3.111235	5.356846	0.015138	5.2
66	-0.215705	3.213207	5.334286	0.015659	5.1
67	-0.264608	3.035636	5.373694	0.019247	4.8
68	-0.237840	2.228820	5.560341	0.007981	4.3
69	-0.230446	1.446077	5.754242	0.014758	6.2
70	-0.247819	0.851567	5.910796	0.011530	3.6
71	-0.222110	0.106748	6.119377	0.021398	4.2
72	-0.227157	0.735829	5.942270	0.015756	6.1
73	-0.216163	0.100302	6.121247	0.009525	5.0
74	-0.236503	0.000000	6.150484	0.008113	4.1
75	-0.245286	0.349620	6.049764	0.011192	5.9
76	-0.205438	0.000000	6.150484	0.019234	4.6
77	-0.264118	0.000000	6.150484	0.014880	4.5
78	-0.210510	0.000000	6.150484	0.015721	6.0
79	-0.232353	0.000000	6.150484	0.023898	5.1
80	-0.231059	0.542105	5.995707	0.027123	5.9
81	-0.240170	1.541131	5.729977	0.006987	7.1
82	-0.225234	2.277387	5.548740	0.010736	7.7
83	-0.252496	2.225029	5.561249	0.020012	9.3
84	-0.233422	3.153214	5.347535	0.025007	7.2
85	-0.208156	4.153214	5.134937	0.015713	7.4
86	-0.226044	5.153214	4.938596	0.013135	8.0
87	-0.229695	4.345588	5.095962	0.021398	9.4
88	-0.196509	5.345008	4.902643	0.004515	10.5
89	-0.232463	4.931539	4.980813	0.015713	12.4
90	-0.235674	5.717608	4.834271	0.017517	9.1
91	-0.225734	6.536924	4.690435	0.006203	8.5
92	-0.233240	5.967140	4.789539	0.021445	8.0
93	-0.234420	6.946838	4.621638	0.015282	8.0
94	-0.261651	6.139273	4.759161	0.014898	8.9
95	-0.255215	7.130704	4.591430	0.014862	4.1
96	-0.241956	7.732833	4.495211	0.014004	4.5
97	-0.220083	8.697462	4.349199	0.010052	4.9
98	-0.231605	8.247588	4.416096	0.015668	5.1
99	-0.223319	7.471951	4.536400	0.030174	5.0
100	-0.225433	6.661943	4.669237	0.010317	4.6
101	-0.248549	7.661901	4.506336	0.009893	4.4
102	-0.221619	8.315162	4.405917	0.014178	4.3
103	-0.226164	8.025735	4.449850	0.025941	5.4
104	-0.233722	9.025732	4.301649	0.010871	4.9
105	-0.252955	8.219168	4.420391	0.015133	3.6
106	-0.222364	9.069270	4.295421	0.007295	5.5
107	-0.236661	8.276338	4.411759	0.018608	5.6
108	-0.220223	8.590799	4.364876	0.016765	4.1
109	-0.257458	7.785177	4.487037	0.022405	5.1
110	-0.246516	6.987058	4.614996	0.021515	4.9
111	-0.234891	7.987058	4.455787	0.012464	5.4
112	-0.213266	8.955108	4.311791	0.012944	5.7
113	-0.239581	8.163038	4.428899	0.016876	4.5
114	-0.235988	8.654566	4.355490	0.016499	4.3
115	-0.232986	8.153289	4.430380	0.018913	5.2
116	-0.218715	7.363819	4.553694	0.032165	4.3
117	-0.253857	6.553769	4.687568	0.011761	4.7
118	-0.236543	5.749787	4.828456	0.006813	8.2
119	-0.217649	6.660863	4.669419	0.017147	7.2
120	-0.231608	5.894863	4.802410	0.031817	8.6
121	-0.249296	5.084852	4.951539	0.018117	7.3
122	-0.246124	4.274802	5.110234	0.019225	8.1
123	-0.239151	5.272870	4.916104	0.013230	6.2
124	-0.235477	4.477266	5.069624	0.013191	7.7
125	-0.224550	4.795787	5.007025	0.009426	7.0
126	-0.237317	5.137779	4.941512	0.013477	6.2
127	-0.224771	6.041197	4.776422	0.012583	7.0
128	-0.218412	6.895143	4.630202	0.021810	6.4
129	-0.237241	7.894588	4.470047	0.013748	7.8
130	-0.238980	8.833604	4.329352	0.013699	6.8
131	-0.254629	9.027711	4.301365	0.007812	7.3
132	-0.234684	9.174130	4.280493	0.018406	6.4
133	-0.210893	9.875553	4.183250	0.017142	6.7
134	-0.236188	10.874820	4.052106	0.021245	7.3
135	-0.214653	11.874818	3.928848	0.013967	6.1
136	-0.235920	11.065247	4.028042	0.013969	6.3
137	-0.226965	12.051443	3.907852	0.013444	5.6
138	-0.217684	11.255773	4.004249	0.013964	6.3
139	-0.224508	12.254621	3.883976	0.023996	6.7
140	-0.220109	13.221283	3.774264	0.012745	5.4
141	-0.221702	14.221281	3.667106	0.021443	4.7
142	-0.239968	15.220807	3.565911	0.029524	7.0
143	-0.233990	15.418024	3.546600	0.018078	5.4
144	-0.230177	14.607978	3.627281	0.011264	6.1
145	-0.222107	15.153015	3.572597	0.014768	7.7
146	-0.204661	15.927640	3.497655	0.022926	5.8
147	-0.243379	16.912517	3.406795	0.013939	10.4
148	-0.222112	17.912509	3.319245	0.017208	4.5
149	-0.225647	18.912131	3.236113	0.021956	6.1
150	-0.225513	18.102093	3.303152	0.023959	6.3
151	-0.232401	17.294250	3.372834	0.013774	6.4
152	-0.244969	16.848267	3.412578	0.014458	6.5
153	-0.237375	17.841535	3.325310	0.009782	5.6
154	-0.241694	18.344976	3.282761	0.012936	8.6
155	-0.224957	17.590367	3.346953	0.009100	7.2
156	-0.232550	17.861606	3.323593	0.028429	8.7
157	-0.231650	17.058797	3.393701	0.018543	8.7
158	-0.217716	18.058797	3.306814	0.008646	6.9
159	-0.228052	17.596433	3.346427	0.022268	6.4
160	-0.216781	18.584788	3.262874	0.017413	6.5
161	-0.237937	19.568525	3.183753	0.010202	6.2
162	-0.241393	19.466031	3.191817	0.020551	8.4
163	-0.227737	20.449302	3.116100	0.016911	6.2
164	-0.233025	21.295406	3.053763	0.018667	9.7
165	-0.224772	22.293673	2.983350	0.015717	7.0
166	-0.205127	21.682152	3.026093	0.011617	8.7
167	-0.241266	20.941576	3.079526	0.010823	7.1
168	-0.252254	21.866037	3.013112	0.023439	7.9
169	-0.246132	22.827924	2.946983	0.029797	6.1
170	-0.252910	23.827924	2.881243	0.020378	7.2
171	-0.221795	24.827924	2.818372	0.018066	6.2
172	-0.236836	24.017954	2.869081	0.016615	5.9
173	-0.207996	23.419095	2.907762	0.003749	7.9
174	-0.233431	24.084729	2.864832	0.017564	5.5
175	-0.228284	23.587866	2.896756	0.008562	6.4
176	-0.226923	24.455081	2.841490	0.010261	6.1
177	-0.229576	25.258692	2.792127	0.023267	8.6
178	-0.230752	25.963632	2.750217	0.012210	6.7
179	-0.222942	26.550106	2.716296	0.025221	8.5
180	-0.232461	27.541806	2.660803	0.021096	9.7
181	-0.236858	28.541689	2.607100	0.017147	6.3
182	-0.214959	29.541570	2.555523	0.019059	6.3
183	-0.227396	30.158500	2.524706	0.016838	5.8
184	-0.233753	31.158478	2.476302	0.015675	7.3
185	-0.233938	30.428376	2.511457	0.012914	6.2
186	-0.249765	29.620482	2.551539	0.005540	5.4
187	-0.237565	30.449063	2.510447	0.012359	7.7
188	-0.231031	30.290224	2.518222	0.021252	7.6
189	-0.241750	31.289541	2.470096	0.017042	7.4
190	-0.209757	32.288989	2.423768	0.020068	7.8
191	-0.255051	31.479034	2.461176	0.007752	6.7
192	-0.231147	32.462160	2.415917	0.016691	8.0
193	-0.215349	31.679316	2.451819	0.015258	7.9
194	-0.243395	31.909557	2.441150	0.011464	7.5
195	-0.216534	32.823951	2.399678	0.024787	7.2
196	-0.260754	32.056679	2.434381	0.024201	6.6
197	-0.231382	33.010880	2.391373	0.018638	8.4
198	-0.217355	34.008419	2.348007	0.010585	6.2
199	-0.239666	33.487969	2.370434	0.011285	8.5
200	-0.242056	32.819855	2.399861	0.020953	7.1
201	-0.242006	32.010033	2.436523	0.008357	5.9
202	-0.218834	31.534225	2.458591	0.009861	6.9
203	-0.232934	30.964259	2.485558	0.018340	5.9
204	-0.231475	31.801725	2.446135	0.020948	6.5
205	-0.233172	32.801725	2.400670	0.019208	6.4
206	-0.239534	32.183346	2.428583	0.013129	5.9
207	-0.243912	31.384304	2.465627	0.013353	6.1
208	-0.230140	30.598057	2.503198	0.017156	5.9
209	-0.218579	29.796389	2.542704	0.014600	5.1
210	-0.237080	29.163097	2.574804	0.014310	5.3
211	-0.234860	28.353636	2.617034	0.008079	5.6
212	-0.218522	27.625756	2.656209	0.011514	6.5
213	-0.215565	27.000517	2.690808	0.010406	6.4
214	-0.224511	26.208801	2.735934	0.012380	5.2
215	-0.234545	26.075967	2.743654	0.012722	6.8
216	-0.244247	25.302056	2.789512	0.012398	6.2
217	-0.223330	24.535743	2.836457	0.017315	5.4
218	-0.204884	23.842495	2.880307	0.011584	5.6
219	-0.224460	24.842234	2.817493	0.018286	6.4
220	-0.220476	25.650401	2.768683	0.010272	7.2
221	-0.234883	26.308740	2.730154	0.014017	6.6
222	-0.237440	27.300592	2.674091	0.014879	8.4
223	-0.258497	26.654823	2.710327	0.015471	8.0
224	-0.221251	26.131655	2.740412	0.008992	6.8
225	-0.242123	27.104017	2.685018	0.013865	7.5
226	-0.219997	27.833902	2.644887	0.018112	9.1
227	-0.253011	28.308740	2.619417	0.008433	5.9
228	-0.229681	27.518549	2.662078	0.019866	7.2
229	-0.233971	28.438860	2.612523	0.015936	7.9
230	-0.243251	28.625932	2.602675	0.017690	8.3
231	-0.230221	28.098982	2.630608	0.019145	5.7
232	-0.236093	28.796788	2.593745	0.024749	8.5
233	-0.244334	28.583124	2.604922	0.016583	6.8
234	-0.251297	29.213260	2.572232	0.023285	7.4
235	-0.220019	28.403226	2.614407	0.016868	7.5
236	-0.220754	27.606437	2.657265	0.022013	8.9
237	-0.234818	28.606420	2.603698	0.017679	6.0
238	-0.233435	27.807615	2.646312	0.021365	4.4
239	-0.235797	28.806453	2.593241	0.008486	7.5
240	-0.235384	29.207390	2.572533	0.016540	6.9
241	-0.259962	29.994666	2.532817	0.015616	7.6
242	-0.234300	30.985261	2.484553	0.021674	7.7
243	-0.229152	31.904153	2.441399	0.015348	8.6
244	-0.239187	31.113359	2.478446	0.024825	7.0
245	-0.220979	32.027753	2.435709	0.018120	8.1
246	-0.237606	31.485654	2.460866	0.020962	8.4
247	-0.234113	31.572164	2.456816	0.018718	11.0
248	-0.239367	31.088045	2.479651	0.017832	7.6
249	-0.208585	30.354063	2.515091	0.012327	8.8
250	-0.230599	29.999666	2.532569	0.017013	8.6
251	-0.252695	29.203174	2.572749	0.012150	8.2
252	-0.232552	28.430145	2.612984	0.019882	6.7
253	-0.220871	27.620202	2.656512	0.009323	9.4
254	-0.236532	27.675494	2.653495	0.011593	8.6
255	-0.262029	27.216162	2.678773	0.014686	7.6
256	-0.210166	28.212012	2.624566	0.009523	6.7
257	-0.223755	28.084377	2.631390	0.021041	8.4
