1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.143323	0.000000	11.700995	0.012769	1491.5
1	-0.169627	0.000000	11.700995	0.008723	6.8
2	-0.158611	0.000000	11.700995	0.012560	8.1
3	-0.168022	0.000000	11.700995	0.010173	6.5
4	-0.156556	0.000000	11.700995	0.012447	7.1
5	-0.154042	0.000000	11.700995	0.021883	6.9
6	-0.175739	0.000000	11.700995	0.014468	8.4
7	-0.131654	0.000000	11.700995	0.005331	22.4
8	-0.145989	0.000000	11.700995	0.006467	14.8
9	-0.138237	0.700702	11.323177	0.012975	6.2
10	-0.133837	1.687044	10.830891	0.015678	12.1
11	-0.151711	0.883452	11.228617	0.016344	14.7
12	-0.155951	0.079860	11.656666	0.014529	5.4
13	-0.152470	0.000000	11.700995	0.021244	7.8
14	-0.173125	0.000000	11.700995	0.017041	5.6
15	-0.168572	0.999979	11.169143	0.008427	8.2
16	-0.169564	0.215521	11.582129	0.004994	5.7
17	-0.146805	1.146554	11.095221	0.011395	8.0
18	-0.167322	1.243500	11.046863	0.011575	8.6
19	-0.169763	1.392383	10.973414	0.023296	16.7
20	-0.162790	0.588791	11.381874	0.013440	7.9
21	-0.168251	0.000000	11.700995	0.009690	5.7
22	-0.156397	0.988640	11.174902	0.011835	5.5
23	-0.148363	1.821220	10.767211	0.008360	10.0
24	-0.161531	1.505110	10.918449	0.021360	4.5
25	-0.174079	0.701519	11.322751	0.012624	9.4
26	-0.153619	0.000000	11.700995	0.015604	6.3
27	-0.148432	0.000000	11.700995	0.009770	10.1
28	-0.138967	0.000000	11.700995	0.010483	5.7
29	-0.153549	0.736817	11.304365	0.014566	9.3
30	-0.147533	0.110796	11.639585	0.020064	5.3
31	-0.150047	1.110637	11.113244	0.006290	9.9
32	-0.160911	1.989359	10.688462	0.016152	6.2
33	-0.161782	2.983492	10.245418	0.013850	162.1
34	-0.142757	2.180362	10.600391	0.010284	6.4
35	-0.159691	1.642764	10.852072	0.010012	7.9
36	-0.168523	0.923046	11.208338	0.013046	18.2
37	-0.132556	1.046089	11.145782	0.013245	6.7
