1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.141222	0.000000	2.603723	0.034622	894.0
1	-0.132780	0.000000	2.603723	0.030831	13.7
2	-0.137225	0.999971	2.485375	0.018585	7.0
3	-0.130218	1.999096	2.377406	0.009003	5.3
4	-0.144603	2.407174	2.335958	0.017963	10.4
5	-0.146198	3.090537	2.269696	0.020527	8.2
6	-0.133141	3.251461	2.254635	0.015766	8.1
7	-0.145663	2.729626	2.304216	0.035417	5.8
8	-0.121768	3.153269	2.263801	0.017883	4.2
9	-0.146781	4.151472	2.173956	0.018855	12.4
10	-0.158696	4.960963	2.106169	0.020980	10.2
11	-0.125593	5.811467	2.039358	0.024298	9.2
12	-0.138112	4.863297	2.114123	0.019015	4.1
13	-0.145974	5.729440	2.045617	0.019120	7.0
14	-0.130592	5.544406	2.059876	0.016591	5.7
15	-0.137277	6.528608	1.986231	0.015083	9.3
16	-0.102622	7.369096	1.927386	0.019690	9.9
17	-0.139272	6.442956	1.992431	0.025111	7.2
18	-0.132071	5.715919	2.046652	0.023154	8.5
19	-0.150390	6.714684	1.972896	0.018441	4.1
20	-0.125003	5.769957	2.042521	0.017319	6.9
21	-0.119927	6.436268	1.992916	0.022401	7.4
22	-0.126541	6.410593	1.994783	0.019455	5.7
23	-0.129178	5.455847	2.066771	0.023228	7.7
24	-0.124570	4.502398	2.144041	0.031265	4.4
25	-0.140183	3.546312	2.227552	0.023025	7.9
26	-0.132180	2.642468	2.312711	0.017213	11.1
27	-0.134780	1.707021	2.407986	0.019488	4.1
28	-0.113720	0.854448	2.501925	0.023755	4.3
29	-0.143119	0.000000	2.603723	0.029036	5.2
30	-0.132793	0.000000	2.603723	0.032163	2.7
31	-0.144927	1.000000	2.485372	0.017230	4.3
32	-0.139678	0.044420	2.598227	0.042661	2.2
33	-0.133075	0.317792	2.564909	0.025947	2.2
34	-0.112106	1.258605	2.456497	0.019422	6.5
35	-0.117953	1.044818	2.480319	0.018808	2.7
36	-0.133771	0.092494	2.592305	0.012794	3.9
37	-0.124558	0.000000	2.603723	0.023562	3.6
38	-0.134696	0.691405	2.520731	0.032362	4.7
39	-0.148390	0.000000	2.603723	0.020180	4.2
40	-0.136244	0.000000	2.603723	0.012519	4.1
41	-0.129605	0.716146	2.517859	0.027116	5.8
42	-0.155472	1.197130	2.463300	0.018656	2.7
43	-0.150525	2.159907	2.360898	0.021839	3.4
44	-0.119574	1.457829	2.434705	0.016571	3.9
45	-0.119474	2.430401	2.333643	0.024449	3.9
46	-0.127261	3.148015	2.264293	0.022955	4.8
47	-0.125735	2.221957	2.354590	0.030094	3.8
48	-0.163064	3.221922	2.257384	0.012832	7.3
49	-0.154207	2.271788	2.349548	0.029960	2.9
50	-0.113822	2.781324	2.299207	0.016040	3.4
51	-0.153238	1.825386	2.395499	0.023526	2.6
52	-0.163819	0.869575	2.500194	0.035346	7.0
53	-0.137455	1.869477	2.390881	0.023297	2.8
54	-0.113003	2.436653	2.333020	0.028401	3.3
55	-0.122620	1.828042	2.395220	0.026605	2.5
56	-0.124500	2.827736	2.294729	0.024663	7.3
57	-0.132079	1.871572	2.390661	0.017410	3.6
58	-0.131580	2.815794	2.295879	0.021597	4.6
59	-0.154613	3.718557	2.212030	0.020478	5.6
60	-0.122468	2.769473	2.300353	0.029375	3.8
61	-0.158605	2.926993	2.285209	0.012536	2.2
62	-0.137016	3.918985	2.194238	0.023370	3.8
63	-0.155737	2.984672	2.279714	0.023313	5.0
64	-0.140951	3.962762	2.190390	0.015594	3.1
65	-0.154539	3.017605	2.276588	0.024363	3.5
66	-0.132913	3.320247	2.248258	0.027747	3.9
67	-0.150191	4.260198	2.164598	0.037111	4.0
68	-0.110779	4.799699	2.119334	0.019717	5.3
69	-0.126752	3.858557	2.199572	0.009914	4.2
70	-0.125119	3.810824	2.203804	0.014554	7.4
71	-0.125527	4.466840	2.147035	0.007938	2.6
72	-0.124084	3.899062	2.195994	0.017094	3.6
73	-0.144053	3.664785	2.216852	0.020335	2.2
74	-0.122850	4.362209	2.155892	0.013646	7.2
75	-0.146894	4.773223	2.121511	0.030234	2.4
76	-0.132429	5.005330	2.102576	0.028083	3.3
77	-0.140417	6.005330	2.024718	0.020075	4.0
78	-0.155854	5.547756	2.059616	0.041493	6.4
79	-0.136085	5.353473	2.074800	0.017326	4.6
80	-0.124787	4.402115	2.152505	0.035133	6.4
81	-0.131446	5.379543	2.072750	0.012569	3.8
82	-0.132680	6.379153	1.997074	0.011200	2.1
83	-0.134189	7.228177	1.937007	0.023889	4.0
84	-0.117683	8.123628	1.877451	0.029475	6.8
85	-0.157251	9.123620	1.815127	0.013663	2.9
86	-0.124727	9.484061	1.793665	0.021626	2.0
87	-0.143364	8.563954	1.849488	0.020141	4.1
88	-0.146646	9.409507	1.798062	0.025438	5.8
89	-0.165701	8.633357	1.845157	0.021763	4.2
90	-0.112259	9.251949	1.807427	0.029677	5.8
91	-0.129446	10.216635	1.751572	0.010730	7.4
92	-0.130732	9.278330	1.805852	0.025109	2.3
93	-0.140644	8.358862	1.862408	0.028992	3.4
94	-0.124175	9.358552	1.801080	0.028339	6.9
95	-0.124935	8.552155	1.850227	0.017347	3.7
96	-0.124761	7.769184	1.900582	0.021521	2.3
97	-0.130875	8.203069	1.872344	0.022756	3.6
98	-0.130551	9.201708	1.810434	0.022293	5.9
99	-0.151896	8.245778	1.869610	0.020730	4.7
100	-0.167417	7.454500	1.921601	0.031925	4.0
101	-0.131857	6.502608	1.988109	0.030265	2.8
102	-0.160118	5.568730	2.057990	0.020826	4.3
103	-0.124159	5.756599	2.043540	0.019216	3.9
104	-0.124466	6.742079	1.970948	0.011376	2.6
105	-0.136127	7.204427	1.938638	0.036125	2.4
106	-0.112285	7.954097	1.888444	0.015437	7.1
107	-0.131768	8.953447	1.825439	0.043681	2.5
108	-0.129936	8.004591	1.885156	0.029038	4.1
109	-0.132043	7.050853	1.949252	0.027773	2.4
110	-0.128072	7.846574	1.895483	0.011351	7.2
