1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.111777	0.000000	10.017275	0.029227	1032.8
1	-0.117742	0.000000	10.017275	0.013064	5.9
2	-0.118228	0.000000	10.017275	0.018959	10.6
3	-0.108408	0.000000	10.017275	0.019806	6.4
4	-0.127110	0.763191	9.665990	0.017369	9.4
5	-0.109371	0.074695	9.981771	0.008878	3.3
6	-0.104108	0.000000	10.017275	0.021302	8.2
7	-0.112341	0.961255	9.578814	0.026838	6.3
8	-0.126930	1.961255	9.161641	0.016592	6.1
9	-0.112514	2.961254	8.779289	0.012906	7.0
10	-0.108543	2.669683	8.887435	0.011852	7.3
11	-0.110328	3.021887	8.757130	0.017996	9.2
12	-0.113153	2.333136	9.015624	0.010684	5.8
13	-0.132139	1.647984	9.288366	0.014084	7.6
14	-0.120740	0.959574	9.579547	0.017541	4.9
15	-0.112991	0.270976	9.889663	0.021970	6.0
16	-0.109022	0.000000	10.017275	0.023791	6.8
17	-0.123986	0.000000	10.017275	0.026690	5.0
18	-0.081647	1.000000	9.561944	0.028285	8.0
19	-0.119945	0.311146	9.871021	0.018204	5.2
20	-0.132278	1.311146	9.428596	0.009182	7.3
21	-0.132324	2.230744	9.055361	0.014840	6.4
22	-0.147325	1.542661	9.331763	0.010717	7.5
23	-0.121102	2.515712	8.945626	0.016630	6.0
24	-0.121127	2.798645	8.839276	0.012452	6.7
25	-0.142522	3.798304	8.482950	0.015201	16.6
26	-0.127131	4.771733	8.162539	0.020780	12.6
27	-0.118181	5.738621	7.867376	0.019041	7.8
28	-0.144801	5.049768	8.075419	0.014810	15.7
29	-0.125384	4.361224	8.294662	0.016791	6.5
30	-0.127193	3.672560	8.526183	0.025651	18.4
31	-0.133948	4.672560	8.194071	0.013460	10.5
32	-0.125106	5.672545	7.886866	0.009682	9.4
33	-0.119808	5.531467	7.928803	0.024728	15.4
34	-0.113368	4.842773	8.140101	0.009374	6.3
35	-0.127772	5.414437	7.963932	0.016929	19.4
36	-0.117351	4.726534	8.176880	0.007507	8.7
37	-0.114428	4.177314	8.355251	0.014036	19.2
38	-0.115462	3.488679	8.590205	0.009881	13.4
39	-0.126252	3.957111	8.428972	0.018816	12.7
40	-0.135685	3.274834	8.665879	0.008965	10.2
41	-0.135989	2.586584	8.918747	0.015789	9.9
42	-0.119449	1.903351	9.184803	0.013280	17.0
43	-0.151507	2.864538	8.814869	0.027693	12.4
44	-0.132414	3.864257	8.460449	0.012317	7.2
45	-0.114692	4.852829	8.136934	0.013868	17.8
46	-0.135176	5.617483	7.903181	0.019318	10.1
47	-0.117989	4.928658	8.113138	0.013671	13.1
48	-0.124121	5.928658	7.811855	0.012782	9.5
49	-0.109501	5.240084	8.016848	0.012792	12.2
50	-0.131084	4.551367	8.232936	0.015810	12.7
51	-0.119864	3.862739	8.460965	0.014457	14.2
52	-0.116074	3.271877	8.666935	0.009410	8.1
53	-0.124760	4.049220	8.397977	0.023688	8.1
54	-0.122097	3.414250	8.616393	0.022409	7.7
55	-0.121807	2.725397	8.866565	0.018821	6.5
56	-0.130424	2.036543	9.131699	0.026250	5.8
57	-0.124443	3.036543	8.751790	0.009427	8.0
58	-0.132778	4.016417	8.408989	0.009014	5.0
59	-0.122387	3.424392	8.612815	0.014239	6.4
60	-0.102463	4.411814	8.278149	0.017977	5.8
61	-0.125165	5.407644	7.965980	0.008452	5.9
62	-0.130567	4.719057	8.179257	0.015227	6.4
63	-0.127306	4.041558	8.400547	0.016567	5.4
64	-0.117620	5.041543	8.077969	0.013399	6.8
65	-0.115020	4.352692	8.297453	0.017215	6.1
66	-0.130935	5.352692	7.982592	0.011877	7.5
67	-0.119445	5.042441	8.077690	0.009601	6.5
68	-0.146656	6.038019	7.780258	0.021483	7.5
69	-0.105246	6.691656	7.596612	0.011701	7.1
70	-0.122296	7.691656	7.331845	0.011095	9.9
71	-0.131450	8.653654	7.093992	0.013453	9.4
72	-0.124820	9.649535	6.863490	0.016867	6.7
73	-0.138335	10.100261	6.764020	0.022881	12.4
74	-0.131543	9.411408	6.917232	0.018712	10.8
