1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.279733	0.000000	2.687420	0.029059	634.5
1	-0.266457	0.000000	2.687420	0.021546	2.2
2	-0.331041	0.998245	2.565469	0.034400	3.0
3	-0.308868	0.051207	2.680883	0.028406	3.7
4	-0.281619	0.932065	2.573211	0.034461	3.1
5	-0.344408	1.923712	2.461897	0.024388	2.6
6	-0.324185	1.098386	2.553844	0.041781	1.7
7	-0.383773	0.152784	2.668009	0.034129	3.0
8	-0.328219	0.000000	2.687420	0.032855	2.4
9	-0.305070	0.000000	2.687420	0.038426	2.3
10	-0.285127	0.985222	2.566989	0.045300	3.9
11	-0.336899	0.038556	2.682495	0.026281	3.1
12	-0.267821	1.038505	2.560783	0.014872	2.6
13	-0.312577	0.883513	2.578920	0.040089	2.0
14	-0.323801	0.158904	2.667238	0.018662	1.9
15	-0.267903	0.000000	2.687420	0.040348	1.8
16	-0.272031	0.000000	2.687420	0.021716	3.7
17	-0.287896	0.999999	2.565265	0.041334	4.1
18	-0.298581	1.999995	2.453732	0.033125	2.9
19	-0.299213	2.999995	2.351493	0.029762	4.2
20	-0.296147	3.996992	2.257705	0.027651	2.0
21	-0.241996	4.537588	2.209912	0.019214	3.9
22	-0.334968	5.260530	2.149074	0.015609	4.3
23	-0.338916	6.225891	2.072873	0.028724	2.4
24	-0.311488	5.593031	2.122204	0.023630	2.3
25	-0.328950	6.592943	2.045299	0.032849	2.8
26	-0.277573	6.534563	2.049636	0.024796	3.9
27	-0.276193	7.534553	1.977807	0.035614	3.5
28	-0.324253	6.764615	2.032653	0.033974	2.5
29	-0.318743	7.762121	1.962158	0.043641	2.7
30	-0.257972	8.760928	1.896306	0.026609	3.8
31	-0.320676	9.760880	1.834662	0.039887	3.7
32	-0.340296	8.813804	1.892943	0.029699	2.7
33	-0.331708	7.866727	1.955048	0.029295	1.8
34	-0.293137	6.919651	2.021366	0.050093	3.0
35	-0.287669	7.895396	1.953108	0.024760	8.5
36	-0.278918	6.948458	2.019282	0.030775	2.8
