1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.054388	0.000000	14.055183	0.011255	607.0
1	-0.058735	0.000000	14.055183	0.013131	4.6
2	-0.055680	0.485162	13.737799	0.013914	3.9
3	-0.047697	0.000000	14.055183	0.011149	6.2
4	-0.051236	1.000000	13.416311	0.006921	5.8
5	-0.060714	0.089368	13.995623	0.012101	10.1
6	-0.048686	1.083394	13.365647	0.013184	6.2
7	-0.055038	0.170806	13.941786	0.011407	9.2
8	-0.049268	0.000000	14.055183	0.019221	5.5
9	-0.053326	1.000000	13.416311	0.015833	11.0
10	-0.061556	0.087412	13.996921	0.012037	7.2
11	-0.059425	1.086640	13.363682	0.015006	8.4
12	-0.050225	0.174103	13.939615	0.009597	7.8
13	-0.057790	1.169729	13.313597	0.011745	9.0
14	-0.054589	0.257416	13.884982	0.011364	6.8
15	-0.054316	1.257416	13.261146	0.014001	8.9
16	-0.059234	2.253134	12.693293	0.014940	8.5
17	-0.072755	3.253134	12.169926	0.015966	7.7
18	-0.052042	2.340546	12.645755	0.013754	6.7
19	-0.057554	1.588159	13.066972	0.008532	8.7
20	-0.065554	2.587886	12.513153	0.008719	6.4
21	-0.063060	1.679956	13.014083	0.007251	8.5
22	-0.047691	0.771615	13.557048	0.010849	7.3
23	-0.052352	0.368786	13.812616	0.007988	7.7
24	-0.045799	0.000000	14.055183	0.010350	7.1
25	-0.055116	0.000000	14.055183	0.010629	8.2
26	-0.045612	0.998230	13.417390	0.008297	5.7
27	-0.064990	1.998215	12.833989	0.005889	7.8
28	-0.056449	1.085806	13.364187	0.004289	7.7
29	-0.060489	0.188712	13.930004	0.009047	6.9
30	-0.068818	0.000000	14.055183	0.007942	6.4
31	-0.069229	0.999762	13.416456	0.009110	5.9
32	-0.048645	1.992972	12.836916	0.003011	7.7
33	-0.067837	1.475720	13.132342	0.013745	7.0
34	-0.050150	1.275809	13.250196	0.018268	7.8
35	-0.056309	0.363221	13.816214	0.013574	6.8
36	-0.053787	0.000000	14.055183	0.009426	5.1
37	-0.053778	0.000000	14.055183	0.011947	4.5
38	-0.062707	0.999979	13.416324	0.010124	4.3
39	-0.063350	0.087989	13.996538	0.012049	4.0
40	-0.061606	1.087989	13.362866	0.011533	5.4
41	-0.059995	0.175425	13.938744	0.015436	5.4
42	-0.048143	0.000000	14.055183	0.007132	4.1
43	-0.053323	0.955954	13.443225	0.011310	4.8
44	-0.050241	0.043916	14.025852	0.005327	4.0
45	-0.048534	0.000000	14.055183	0.009717	3.5
46	-0.057077	0.000000	14.055183	0.006869	5.9
47	-0.064035	0.855136	13.505239	0.006405	4.6
48	-0.061172	0.002479	14.053524	0.006586	4.8
49	-0.074603	0.663583	13.624654	0.015921	4.8
50	-0.056770	1.663265	13.023668	0.011895	5.1
51	-0.057398	0.750735	13.570063	0.010492	3.7
52	-0.061290	0.106471	13.984282	0.015103	4.6
53	-0.057451	1.106471	13.351694	0.011691	4.8
54	-0.066997	0.193883	13.926605	0.007812	4.3
55	-0.059684	1.193038	13.299614	0.009483	4.8
56	-0.061511	2.192578	12.726435	0.013031	4.4
57	-0.056292	1.280713	13.247280	0.006037	4.5
58	-0.066098	0.368164	13.813018	0.006443	4.0
59	-0.060471	0.000000	14.055183	0.007169	5.0
60	-0.046115	0.000000	14.055183	0.007478	5.5
61	-0.058773	0.306355	13.853089	0.015564	5.6
62	-0.066014	0.000000	14.055183	0.013992	8.0
63	-0.070513	1.000000	13.416311	0.012196	6.5
64	-0.065799	1.705644	12.999360	0.014972	13.6
65	-0.058349	2.705624	12.451005	0.013202	8.0
66	-0.062224	3.703498	11.948058	0.008190	8.0
67	-0.066876	2.790911	12.406370	0.009648	10.7
68	-0.060582	1.880957	12.899759	0.011673	5.9
69	-0.059614	2.852127	12.374529	0.008396	7.0
70	-0.058364	2.002020	12.831866	0.007097	7.9
71	-0.052334	1.089514	13.361944	0.015121	6.7
72	-0.066085	0.177381	13.937457	0.007680	7.0
73	-0.060186	0.000000	14.055183	0.007425	6.8
74	-0.065552	0.000000	14.055183	0.007115	9.5
75	-0.056509	0.821545	13.526029	0.013218	4.8
76	-0.076128	1.821545	12.933342	0.004038	5.4
77	-0.062060	2.816083	12.393257	0.012614	5.0
78	-0.052835	2.076758	12.790308	0.006942	4.5
79	-0.062035	3.004742	12.295855	0.008588	5.2
80	-0.053848	2.092172	12.781770	0.005573	4.1
81	-0.048721	2.424112	12.600641	0.007355	4.3
82	-0.062470	2.366650	12.631628	0.011430	5.1
83	-0.063199	3.363746	12.114674	0.015684	4.6
84	-0.063107	2.451158	12.586109	0.016668	3.5
85	-0.067853	1.553590	13.087000	0.009141	5.1
86	-0.062642	2.553590	12.531373	0.009955	4.8
87	-0.071627	1.641011	13.036469	0.010013	4.0
88	-0.061336	2.640892	12.485097	0.011798	4.6
89	-0.058093	1.728305	12.986399	0.013394	4.8
90	-0.060929	0.815717	13.529642	0.012352	4.3
91	-0.059096	1.815019	12.937041	0.009539	4.2
92	-0.055139	1.761178	12.967643	0.007900	4.9
93	-0.063256	2.365282	12.632368	0.017164	4.7
94	-0.079723	1.452694	13.145810	0.013305	3.9
95	-0.067860	0.540106	13.702757	0.006868	4.8
96	-0.061840	1.539729	13.095048	0.015707	4.2
97	-0.069219	0.627141	13.647612	0.015299	3.9
98	-0.072412	1.627141	13.044460	0.006530	4.0
99	-0.057974	1.711850	12.995808	0.006594	4.6
100	-0.060945	2.179564	12.733580	0.014371	6.0
101	-0.057992	1.293613	13.239614	0.010654	4.7
102	-0.061589	2.293228	12.671444	0.005993	6.2
103	-0.069865	1.561250	13.082557	0.012879	5.2
104	-0.059996	2.561024	12.527420	0.010577	5.2
105	-0.063887	2.686485	12.461065	0.007085	5.8
106	-0.055821	1.829984	12.928561	0.008678	6.1
107	-0.059488	2.827371	12.387386	0.012848	5.8
108	-0.069177	1.914783	12.880717	0.011958	4.8
109	-0.051131	1.002195	13.414972	0.009924	6.3
110	-0.069003	2.000453	12.832740	0.009850	6.2
111	-0.061752	1.090151	13.361558	0.009531	5.4
112	-0.066161	2.089142	12.783448	0.014735	5.0
113	-0.065152	1.176598	13.309473	0.008924	5.9
114	-0.061508	0.264910	13.880089	0.016109	5.0
115	-0.071081	1.264909	13.256683	0.014086	5.7
116	-0.055646	2.264909	12.686868	0.015076	6.8
117	-0.075874	1.352321	13.204840	0.009583	5.2
