1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.051221	0.000000	7.636935	0.009505	691.1
1	-0.059634	0.000000	7.636935	0.012855	5.4
2	-0.061341	0.000000	7.636935	0.007238	9.5
3	-0.052510	0.000000	7.636935	0.007718	7.5
4	-0.049124	0.000000	7.636935	0.011488	7.2
5	-0.045871	0.265100	7.541730	0.007712	6.8
6	-0.055828	1.222108	7.216941	0.006641	5.3
7	-0.041869	0.495192	7.461000	0.004862	9.9
8	-0.065215	0.000000	7.636935	0.005062	10.3
9	-0.048258	0.000000	7.636935	0.007263	6.0
10	-0.041613	0.139538	7.586525	0.004474	29.4
11	-0.032531	0.215336	7.559420	0.001950	17.6
12	-0.047462	0.203637	7.563591	0.006134	8.3
13	-0.050904	0.000000	7.636935	0.008173	4.6
14	-0.050940	0.000000	7.636935	0.006704	3.5
15	-0.049624	0.999924	7.289827	0.008366	3.4
16	-0.043621	1.995208	6.974307	0.012427	3.6
17	-0.046063	1.040642	7.276360	0.005525	3.5
18	-0.058720	0.331275	7.518333	0.020161	3.0
19	-0.043492	1.331274	7.181661	0.007650	2.9
20	-0.041449	0.376573	7.502402	0.006932	2.4
21	-0.068557	1.376141	7.167261	0.006722	2.4
22	-0.049096	1.839482	7.021860	0.005017	2.5
23	-0.079275	2.838810	6.727502	0.007158	2.5
24	-0.061670	3.834988	6.457649	0.008066	2.4
25	-0.058633	3.853661	6.452797	0.012551	2.4
26	-0.049548	4.849544	6.204196	0.011737	2.6
27	-0.050438	5.849542	5.973124	0.005775	2.7
28	-0.051481	4.894888	6.193332	0.014296	2.7
29	-0.053954	3.940186	6.430411	0.016614	2.7
30	-0.048049	2.985485	6.686362	0.011527	2.5
31	-0.059312	2.030788	6.963532	0.021247	5.6
32	-0.056605	3.030788	6.673757	0.008239	6.8
33	-0.060471	4.030788	6.407135	0.010547	10.2
34	-0.042962	3.076090	6.661199	0.005161	10.0
35	-0.054730	4.015504	6.411050	0.014668	3.5
36	-0.053254	5.015504	6.164618	0.005796	3.4
37	-0.049494	6.015433	5.936445	0.009207	2.5
38	-0.059642	5.065749	6.152735	0.011882	3.5
39	-0.064995	4.111325	6.386586	0.003279	3.7
40	-0.055119	3.256992	6.611522	0.021195	3.3
41	-0.065715	2.302558	6.882319	0.009870	2.5
42	-0.046977	1.347856	7.176332	0.008191	2.6
43	-0.056279	2.347761	6.868994	0.011250	2.5
44	-0.056534	1.393060	7.161846	0.011230	2.4
45	-0.061237	2.367563	6.863173	0.006625	2.5
46	-0.040966	3.367555	6.581523	0.017324	2.4
47	-0.043243	2.649483	6.781359	0.006786	3.0
48	-0.067599	3.649405	6.506268	0.013347	5.0
49	-0.056336	2.694732	6.768409	0.008739	4.8
50	-0.053272	1.740037	7.052567	0.006691	2.3
51	-0.053349	1.523781	7.120280	0.007349	2.5
52	-0.055454	2.495083	6.825923	0.008590	4.3
