1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.216287	0.000000	10.345183	0.017232	924.4
1	-0.204010	0.000000	10.345183	0.013656	8.7
2	-0.209730	0.000000	10.345183	0.022226	6.5
3	-0.214614	0.000000	10.345183	0.017786	8.9
4	-0.198006	0.000000	10.345183	0.021435	5.0
5	-0.224272	0.000000	10.345183	0.030111	6.8
6	-0.214236	0.000000	10.345183	0.016294	11.8
7	-0.208728	0.000000	10.345183	0.017018	10.9
8	-0.233965	0.000000	10.345183	0.018929	7.6
9	-0.215285	0.000000	10.345183	0.010485	9.9
10	-0.211096	0.000000	10.345183	0.007785	7.4
11	-0.201009	0.572861	10.070470	0.017576	9.6
12	-0.223915	0.631396	10.043219	0.024182	8.5
13	-0.202408	0.240231	10.228177	0.019162	7.6
14	-0.214226	1.240211	9.768291	0.017782	7.8
15	-0.228440	1.218587	9.777798	0.019074	6.2
16	-0.229074	0.893202	9.923119	0.018497	7.9
17	-0.230827	0.671534	10.024618	0.017752	6.4
18	-0.214392	1.671530	9.582452	0.011451	10.3
19	-0.222966	1.279653	9.750998	0.020794	7.1
20	-0.202918	0.887781	9.925577	0.010860	7.4
21	-0.201173	1.556130	9.631477	0.007133	5.8
22	-0.221375	2.069985	9.416948	0.017673	8.4
23	-0.217638	1.978395	9.454483	0.012936	8.6
24	-0.242131	2.970687	9.063105	0.016449	9.1
25	-0.200252	3.969442	8.700589	0.010979	7.4
26	-0.213491	4.099737	8.655423	0.018178	7.5
27	-0.217176	3.859564	8.739045	0.021437	4.4
28	-0.213219	4.080005	8.662233	0.017787	5.2
29	-0.210775	5.080005	8.330092	0.014782	5.5
30	-0.232724	6.078999	8.022780	0.018337	4.5
31	-0.214955	7.028094	7.751110	0.007844	4.1
32	-0.217943	6.636568	7.860920	0.011992	5.1
33	-0.215786	7.280422	7.681952	0.019621	5.1
34	-0.202589	6.888545	7.789896	0.010719	4.4
35	-0.211966	6.510812	7.896853	0.009585	4.0
36	-0.228713	6.137874	8.005375	0.012659	5.0
37	-0.246473	5.747536	8.122201	0.018992	4.8
38	-0.233950	6.747426	7.829514	0.013284	3.6
39	-0.219168	7.746405	7.557427	0.025589	6.8
40	-0.221004	7.354543	7.661871	0.026287	4.9
41	-0.233221	6.962665	7.769247	0.015989	5.7
42	-0.214998	7.962665	7.500997	0.018426	6.0
43	-0.225092	7.571194	7.603772	0.019476	4.3
44	-0.218439	7.205529	7.702350	0.011571	4.1
45	-0.217051	6.819736	7.809163	0.010456	6.3
46	-0.202206	6.563625	7.881723	0.018849	4.3
47	-0.215835	6.171756	7.995392	0.011988	5.0
48	-0.227499	7.162938	7.713998	0.013149	6.4
49	-0.234651	8.154950	7.451525	0.014055	7.6
50	-0.221429	7.778437	7.549015	0.014696	8.5
51	-0.202233	8.777477	7.295744	0.017158	5.8
52	-0.238384	8.750241	7.302423	0.013533	6.7
53	-0.215756	8.358363	7.399896	0.017842	10.1
54	-0.227479	9.358349	7.156148	0.015432	14.5
55	-0.223713	9.362940	7.155066	0.008218	12.2
56	-0.214553	9.056835	7.227935	0.012712	7.9
57	-0.235365	9.996296	7.008865	0.012195	10.0
58	-0.239779	9.605044	7.098465	0.006860	6.9
59	-0.235774	9.220734	7.188735	0.022539	8.8
60	-0.235229	9.120411	7.212679	0.013427	10.4
61	-0.242704	10.063923	6.993606	0.010440	5.0
62	-0.233492	9.693405	7.078030	0.010106	4.4
63	-0.232826	10.262868	6.949102	0.022069	4.9
64	-0.226195	10.265362	6.948547	0.014490	4.8
65	-0.218856	11.265318	6.733200	0.010594	5.5
66	-0.228966	12.264875	6.530878	0.009434	5.1
67	-0.212565	11.945631	6.594163	0.009343	5.9
68	-0.204736	12.886139	6.411142	0.018076	5.9
69	-0.223751	12.545203	6.476301	0.014405	6.0
70	-0.226963	12.153326	6.552852	0.013018	5.6
71	-0.214030	11.765483	6.630418	0.011687	7.1
72	-0.248526	12.764707	6.434199	0.026678	7.5
73	-0.237342	13.728171	6.255695	0.022863	6.2
74	-0.223896	14.728171	6.080604	0.011371	9.2
75	-0.225815	14.336459	6.148009	0.009592	10.7
76	-0.204439	14.218569	6.168588	0.013065	9.5
77	-0.230841	13.836727	6.236202	0.012891	9.1
78	-0.224449	13.446700	6.306812	0.010285	8.3
79	-0.221332	14.385640	6.139464	0.017898	9.8
80	-0.207572	15.124030	6.013970	0.012635	5.2
81	-0.238321	14.768273	6.073786	0.015624	9.1
82	-0.224706	15.768267	5.908596	0.016111	6.9
83	-0.241131	15.780340	5.906657	0.014366	8.3
84	-0.251289	15.388463	5.970267	0.011965	6.5
85	-0.231361	14.996644	6.035253	0.006396	9.1
86	-0.212145	14.704917	6.084564	0.023422	6.5
87	-0.238132	14.320346	6.150813	0.014624	7.5
88	-0.250482	15.320346	5.981464	0.020918	7.5
89	-0.220926	16.320343	5.821191	0.012694	8.4
90	-0.209296	17.259780	5.678257	0.014483	5.9
91	-0.229018	17.490921	5.644158	0.018507	6.5
92	-0.219720	18.490414	5.501306	0.013188	6.5
93	-0.211233	18.218532	5.539444	0.015359	5.8
94	-0.220217	17.827124	5.595286	0.011179	8.1
95	-0.229782	18.808365	5.457367	0.009108	6.5
96	-0.210378	18.500271	5.499933	0.012323	6.5
97	-0.238008	19.498288	5.364396	0.015030	5.0
98	-0.227692	19.363573	5.382300	0.021079	4.4
99	-0.233702	20.363572	5.252178	0.009228	6.4
100	-0.221897	19.971695	5.302413	0.007820	4.9
101	-0.234745	19.760104	5.329939	0.017900	4.2
102	-0.215946	19.380544	5.380038	0.019333	5.8
103	-0.212486	20.380544	5.250024	0.009663	4.8
104	-0.219471	21.379815	5.126234	0.018600	4.5
105	-0.217685	22.379425	5.008108	0.012150	5.1
106	-0.222525	21.987604	5.053756	0.014012	4.8
107	-0.239653	22.987555	4.938871	0.021699	4.9
108	-0.200590	22.601878	4.982557	0.013576	5.5
109	-0.210286	22.210000	5.027745	0.013351	4.8
110	-0.226853	21.819569	5.073588	0.023118	4.4
111	-0.238892	21.427875	5.120427	0.007581	7.8
112	-0.221021	21.335516	5.131598	0.015055	7.5
113	-0.211677	21.836631	5.071567	0.006428	7.9
114	-0.204610	22.817294	4.958062	0.014010	4.0
115	-0.226076	23.792444	4.850123	0.018624	4.6
116	-0.230017	23.400579	4.892928	0.023815	4.7
117	-0.229195	23.040388	4.932946	0.014068	5.3
118	-0.215084	23.580769	4.873152	0.012318	6.5
119	-0.244336	23.306196	4.903351	0.011780	8.2
120	-0.246709	23.130661	4.922855	0.010184	7.9
121	-0.220939	22.762900	4.964224	0.016473	7.7
122	-0.205927	22.373157	5.008832	0.013642	5.9
123	-0.217160	22.789569	4.961201	0.015802	7.8
124	-0.208313	22.397702	5.005999	0.012104	5.7
125	-0.234645	23.396862	4.893338	0.024550	6.3
126	-0.206820	24.088046	4.818325	0.020051	7.8
127	-0.219287	25.066212	4.716013	0.014442	6.3
128	-0.219913	26.065766	4.615857	0.011782	7.6
129	-0.233675	27.065375	4.519862	0.010625	6.5
130	-0.210763	27.998967	4.433743	0.013241	8.9
131	-0.220941	27.795382	4.452242	0.014906	6.2
132	-0.217715	27.734783	4.457778	0.014353	6.3
133	-0.206392	27.872060	4.445257	0.010487	6.4
134	-0.219132	28.779958	4.364183	0.016924	5.8
135	-0.225730	28.412534	4.396634	0.014728	8.5
136	-0.202941	28.028336	4.431088	0.014567	6.3
137	-0.244219	28.186003	4.416884	0.014090	7.9
138	-0.222147	27.821082	4.449898	0.016412	8.8
139	-0.221154	28.821059	4.360583	0.008244	8.0
140	-0.224915	28.728960	4.368659	0.008508	5.3
141	-0.203519	28.458906	4.392512	0.021334	8.2
142	-0.218746	28.275229	4.408886	0.010875	7.7
143	-0.204752	29.274414	4.321261	0.014861	8.9
144	-0.206777	29.336055	4.315969	0.009811	7.7
145	-0.230991	30.336005	4.231900	0.010826	10.3
146	-0.221262	31.330454	4.151480	0.015382	11.4
147	-0.230334	32.308689	4.075299	0.017179	9.1
148	-0.223194	31.916812	4.105479	0.022814	6.2
149	-0.211065	32.827242	4.036039	0.017145	7.2
150	-0.203492	32.435412	4.065634	0.012927	7.2
151	-0.236335	32.624780	4.051277	0.019222	7.4
152	-0.216652	32.252113	4.079629	0.012777	7.2
153	-0.196133	32.264687	4.078666	0.018059	8.1
154	-0.223825	32.504554	4.060380	0.015735	7.0
155	-0.211238	32.112790	4.090330	0.018729	8.5
156	-0.214239	31.742892	4.119017	0.019473	6.1
157	-0.212500	32.742892	4.042374	0.019176	6.8
158	-0.225075	32.351030	4.072065	0.020013	6.4
159	-0.203047	31.959153	4.102196	0.021629	7.4
160	-0.219795	32.114229	4.090219	0.016188	5.9
161	-0.231137	33.114153	4.014640	0.018688	6.0
162	-0.230795	32.722275	4.043925	0.008384	8.8
163	-0.229170	32.340978	4.072832	0.014500	5.8
164	-0.194856	31.966442	4.101632	0.012408	6.7
165	-0.219986	32.375134	4.070226	0.012392	7.4
166	-0.217036	33.210610	4.007497	0.019992	5.9
167	-0.227848	32.901787	4.030457	0.013316	6.6
168	-0.214424	33.899479	3.957211	0.017138	6.2
169	-0.219899	34.571498	3.909357	0.017161	6.5
170	-0.237227	34.179620	3.937121	0.012418	6.4
171	-0.234048	33.794698	3.964779	0.018068	7.1
172	-0.225636	33.404385	3.993223	0.014353	9.0
173	-0.215958	34.404382	3.921149	0.019738	10.3
174	-0.235519	34.012763	3.949063	0.014442	6.7
175	-0.216958	35.012763	3.878560	0.003776	7.6
176	-0.221220	34.665413	3.902762	0.011850	6.0
177	-0.226121	35.093706	3.872963	0.008936	10.5
178	-0.236266	35.829429	3.822823	0.018203	7.1
179	-0.214946	35.437553	3.849367	0.014993	8.1
180	-0.229534	35.071681	3.874484	0.013435	5.7
181	-0.215334	34.679812	3.901753	0.027284	6.5
182	-0.224152	35.611524	3.837538	0.014837	6.1
183	-0.215789	35.280912	3.860080	0.019534	4.4
184	-0.202921	36.111886	3.803917	0.014246	5.1
185	-0.205994	35.720051	3.830195	0.010963	5.0
186	-0.233522	36.720009	3.763839	0.012463	4.8
187	-0.210623	37.455616	3.716475	0.016078	4.4
188	-0.232346	38.455613	3.653967	0.012327	6.0
189	-0.239670	39.455517	3.593532	0.023957	3.4
190	-0.211153	39.063743	3.616972	0.015950	4.5
191	-0.222388	40.050991	3.558482	0.015328	5.8
192	-0.217615	41.050990	3.501134	0.014399	7.0
193	-0.205760	42.005322	3.448103	0.021139	8.2
194	-0.230881	43.005322	3.394231	0.013975	6.5
